season,team_id,player_id,player,prior_classification,repair_class,recommended_action,native_core_metric_count,native_core_on_nonnull,native_core_off_nonnull,retained_corrected_exact_metric_count,same_player_season_stage2_teams,same_player_team_stage2_seasons,target_metadata_json,zero_tail_evidence_json
2017-18,1610612745,1628935,Aaron Jackson,NO_STAGE2_COUNTERPART_FOUND,TARGETED_TENURE_REQUERY_FROM_EXISTING_V2_TARGET,Use V2 target tenure interval(s) to query only this player-team-season; native core confirms all 89 metric names exist. Do not substitute whole-season OFF.,89,89,89,0,,,"{""minutes_on"":34.5,""player"":""Aaron Jackson"",""player_id"":""1628935"",""season"":""2017-18"",""team_games_in_tenure"":1,""team_id"":1610612745,""total_team_games"":82}",[]
2018-19,1610612764,203895,Jordan McRae,SEASON_MAPPING_MISMATCH,TARGETED_TENURE_REQUERY_FROM_EXISTING_V2_TARGET,Use V2 target tenure interval(s) to query only this player-team-season; native core confirms all 89 metric names exist. Do not substitute whole-season OFF.,89,89,89,0,,2019-20,"{""minutes_on"":332.8,""player"":""Jordan McRae"",""player_id"":""203895"",""season"":""2018-19"",""team_games_in_tenure"":82,""team_id"":1610612764,""total_team_games"":82}",[]
2019-20,1610612739,1629731,Dean Wade,SEASON_MAPPING_MISMATCH,TARGETED_TENURE_REQUERY_FROM_EXISTING_V2_TARGET,Use V2 target tenure interval(s) to query only this player-team-season; native core confirms all 89 metric names exist. Do not substitute whole-season OFF.,89,89,89,0,,2020-21;2021-22;2022-23;2023-24;2024-25;2025-26,"{""minutes_on"":71.41666666666667,""player"":""Dean Wade"",""player_id"":""1629731"",""season"":""2019-20"",""team_games_in_tenure"":65,""team_id"":1610612739,""total_team_games"":65}",[]
2021-22,1610612751,1630556,Kessler Edwards,SEASON_MAPPING_MISMATCH,TARGETED_TENURE_REQUERY_FROM_EXISTING_V2_TARGET,Use V2 target tenure interval(s) to query only this player-team-season; native core confirms all 89 metric names exist. Do not substitute whole-season OFF.,89,89,89,0,,2022-23,"{""minutes_on"":987.1666666666666,""player"":""Kessler Edwards"",""player_id"":""1630556"",""season"":""2021-22"",""team_games_in_tenure"":82,""team_id"":1610612751,""total_team_games"":82}",[]
2022-23,1610612751,1630564,RaiQuan Gray,ZERO_MINUTE_OR_TAIL_EXCLUSION,ZERO_MINUTE_TARGET_REQUIRES_EXPLICIT_CANONICAL_POLICY,Do not fabricate ON/OFF. Confirm canonical zero-minute representation and material gate policy.,89,89,89,0,,,"{""minutes_on"":35.083333333333336,""player"":""RaiQuan Gray"",""player_id"":""1630564"",""season"":""2022-23"",""team_games_in_tenure"":1,""team_id"":1610612751,""total_team_games"":82}","[{""record"":{""player_id"":""1630564"",""player_name"":""RaiQuan Gray"",""query_end_date"":""2023-04-09"",""query_start_date"":""2023-04-09"",""season"":""2022-23"",""team_games_in_window"":1,""team_id"":1610612751,""verified_minutes_on"":0.0},""source"":""zero_minute_tail_exclusions.json""}]"
2022-23,1610612757,1628435,Chance Comanche,NO_STAGE2_COUNTERPART_FOUND,TARGETED_TENURE_REQUERY_FROM_EXISTING_V2_TARGET,Use V2 target tenure interval(s) to query only this player-team-season; native core confirms all 89 metric names exist. Do not substitute whole-season OFF.,89,89,89,0,,,"{""minutes_on"":20.783333333333335,""player"":""Chance Comanche"",""player_id"":""1628435"",""season"":""2022-23"",""team_games_in_tenure"":1,""team_id"":1610612757,""total_team_games"":82}",[]
2022-23,1610612763,1631367,Jacob Gilyard,ZERO_MINUTE_OR_TAIL_EXCLUSION,ZERO_MINUTE_TARGET_REQUIRES_EXPLICIT_CANONICAL_POLICY,Do not fabricate ON/OFF. Confirm canonical zero-minute representation and material gate policy.,89,89,89,0,,2023-24,"{""minutes_on"":40.78333333333333,""player"":""Jacob Gilyard"",""player_id"":""1631367"",""season"":""2022-23"",""team_games_in_tenure"":1,""team_id"":1610612763,""total_team_games"":82}","[{""record"":{""player_id"":""1631367"",""player_name"":""Jacob Gilyard"",""query_end_date"":""2023-04-09"",""query_start_date"":""2023-04-09"",""season"":""2022-23"",""team_games_in_window"":1,""team_id"":1610612763,""verified_minutes_on"":0.0},""source"":""zero_minute_tail_exclusions.json""}]"
2024-25,1610612738,1631120,JD Davison,SEASON_MAPPING_MISMATCH,TARGETED_TENURE_REQUERY_FROM_EXISTING_V2_TARGET,Use V2 target tenure interval(s) to query only this player-team-season; native core confirms all 89 metric names exist. Do not substitute whole-season OFF.,89,89,89,0,,2022-23;2023-24,"{""minutes_on"":92.9,""player"":""JD Davison"",""player_id"":""1631120"",""season"":""2024-25"",""team_games_in_tenure"":82,""team_id"":1610612738,""total_team_games"":82}",[]
2024-25,1610612755,1630600,Isaiah Mobley,NO_STAGE2_COUNTERPART_FOUND,TARGETED_TENURE_REQUERY_FROM_EXISTING_V2_TARGET,Use V2 target tenure interval(s) to query only this player-team-season; native core confirms all 89 metric names exist. Do not substitute whole-season OFF.,89,89,89,0,,,"{""minutes_on"":17.366666666666667,""player"":""Isaiah Mobley"",""player_id"":""1630600"",""season"":""2024-25"",""team_games_in_tenure"":1,""team_id"":1610612755,""total_team_games"":82}",[]
2025-26,1610612741,1631338,Mouhamadou Gueye,ZERO_MINUTE_OR_TAIL_EXCLUSION,ZERO_MINUTE_TARGET_REQUIRES_EXPLICIT_CANONICAL_POLICY,Do not fabricate ON/OFF. Confirm canonical zero-minute representation and material gate policy.,89,89,89,0,,,"{""minutes_on"":45.44166666666667,""player"":""Mouhamadou Gueye"",""player_id"":""1631338"",""season"":""2025-26"",""team_games_in_tenure"":3,""team_id"":1610612741,""total_team_games"":82}","[{""record"":{""player_id"":""1631338"",""player_name"":""Mouhamadou Gueye"",""query_end_date"":""2026-04-12"",""query_start_date"":""2026-04-10"",""season"":""2025-26"",""team_games_in_window"":2,""team_id"":1610612741,""verified_minutes_on"":0.0},""source"":""zero_minute_tail_exclusions.json""}]"
2025-26,1610612747,1641733,Nick Smith Jr.,NO_STAGE2_COUNTERPART_FOUND,TARGETED_TENURE_REQUERY_FROM_EXISTING_V2_TARGET,Use V2 target tenure interval(s) to query only this player-team-season; native core confirms all 89 metric names exist. Do not substitute whole-season OFF.,89,89,89,0,,,"{""minutes_on"":374.87666666666667,""player"":""Nick Smith Jr."",""player_id"":""1641733"",""season"":""2025-26"",""team_games_in_tenure"":82,""team_id"":1610612747,""total_team_games"":82}",[]
2025-26,1610612752,1641794,Dillon Jones,ZERO_MINUTE_OR_TAIL_EXCLUSION,ZERO_MINUTE_TARGET_REQUIRES_EXPLICIT_CANONICAL_POLICY,Do not fabricate ON/OFF. Confirm canonical zero-minute representation and material gate policy.,89,89,89,0,,,"{""minutes_on"":39.388333333333335,""player"":""Dillon Jones"",""player_id"":""1641794"",""season"":""2025-26"",""team_games_in_tenure"":39,""team_id"":1610612752,""total_team_games"":82}","[{""record"":{""player_id"":""1641794"",""player_name"":""Dillon Jones"",""query_end_date"":""2026-04-12"",""query_start_date"":""2026-01-21"",""season"":""2025-26"",""team_games_in_window"":39,""team_id"":1610612752,""verified_minutes_on"":0.0},""source"":""zero_minute_tail_exclusions.json""}]"
2025-26,1610612762,1643060,Hayden Gray,ZERO_MINUTE_OR_TAIL_EXCLUSION,ZERO_MINUTE_TARGET_REQUIRES_EXPLICIT_CANONICAL_POLICY,Do not fabricate ON/OFF. Confirm canonical zero-minute representation and material gate policy.,89,89,89,0,,,"{""minutes_on"":24.75,""player"":""Hayden Gray"",""player_id"":""1643060"",""season"":""2025-26"",""team_games_in_tenure"":1,""team_id"":1610612762,""total_team_games"":82}","[{""record"":{""player_id"":""1643060"",""player_name"":""Hayden Gray"",""query_end_date"":""2026-04-12"",""query_start_date"":""2026-04-12"",""season"":""2025-26"",""team_games_in_window"":1,""team_id"":1610612762,""verified_minutes_on"":0.0},""source"":""zero_minute_tail_exclusions.json""}]"
